10.1371/journal.pone.0263302	All relevant data available from Zenodo: DOI 10.5281/zenodo.5769577.
10.1186/s13064-019-0127-z	All data generated of analyzed during the current study are included in this published article.
10.3390/data6080084	The gold standard dataset, with links and offsets from each sentence to the (open access available) articles together with the annotation guidelines and all code used in the experiments, is available on https://github.com/xjaeh/ner_dataset_recognition.
10.1093/brain/awaa140	The data that support the findings of this study are available from the corresponding author, upon reasonable request.
10.1371/journal.pone.0200095	Metagenome sequence data of C1 and C2 guano are available at NCBI accession no. SRP101645.
10.1093/bib/bbab027	The data underlying this article are available in [NCBI viral genome database], at https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/, and [CNCB coronavirus database, at https://bigd.big.ac.cn/ncov/. The datasets were derived from sources in the public domain: [NCBI, https://www.ncbi.nlm.nih.gov, and CNCB coronavirus database, https://bigd.big.ac.cn].
10.1101/2020.10.22.349415	Raw sequencing data is deposited under NCBI GEO: GSE159812. Normalized counts data also available for download at: https://twc-stanford.shinyapps.io/scRNA_Brain_COVID19.
10.3389/fpubh.2020.594117	The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation.
10.1016/j.isci.2020.101839	All datasets generated during and/or analyzed during the current study have been deposited in Mendeley Data (https://doi.org/10.17632/4cynjrymgf.1) and NCBI GEO: GSE151973. All codes used for the analyses of the data reported in this manuscript are provided at the GitHub repository https://github.com/leonfodoulian/SARS_CoV_2_anosmia.
10.1101/2020.04.16.20068213	All data collected and analyzed within this study are available from the corresponding author on reasonable request.
10.1101/2020.04.09.032995	Data and code are available at https://github.com/themusiclab/infant-vocal; the corpus is available at https://osf.io/m5yn2; the preregistration is at https://osf.io/5r72u; and readers may participate in the naïve listener experiment at https://themusiclab.org/quizzes/ids.
10.1371/journal.pone.0244956	All raw data underlying results are included as Supplemental Information.
10.1371/journal.pone.0244886	Data cannot be shared publicly because of confidentiality based restrictions placed by the ethics review committee of Aga Khan University Hospital. Data are available from the AKUH Institutional Data Access / Ethics Committee (contact via erc.pakistan@aku.edu) for researchers who meet the criteria for access to confidential data.
10.3390/data6080084	Dataset: https://github.com/xjaeh/ner_dataset_recognition




